DisplayImage,corrAns,ishihara_pics.thisRepN,ishihara_pics.thisTrialN,ishihara_pics.thisN,ishihara_pics.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,Settings.started,Settings.stopped,demographics.started,demographics.stopped,demographic_form.index,demographic_form.itemText,demographic_form.type,demographic_form.font,demographic_form.markerColor,demographic_form.response,demographic_form.rt,education.started,education.stopped,edu_form.index,edu_form.itemText,edu_form.type,edu_form.font,edu_form.markerColor,edu_form.response,edu_form.rt,Ishihara.started,Ishihara.stopped,ishihara_number.text,no_text_blocks_self_paced.started,no_text_blocks_self_paced.stopped,text_blocks_self_paced.started,colour,target,nback_response,nback_RT,duration,text_nr,trial_nr,block_nr,block_name,block_kind,word,global_onset_time,question,button_pressed,chosen_ans,ans_correct,block_nr_exp,n-back_level,text_blocks_self_paced.stopped,text_blocks_paced.started,text_blocks_paced.stopped,no_text_blocks_paced.started,no_text_blocks_paced.stopped,pseudotext.started,pseudotext.stopped,curr_0back_target,RT_per_letter_baseline,RT_per_letter_0back,RT_per_rect_1back_single,RT_per_letter_1bck,RT_per_rect_2back_single,RT_per_letter_2bck,participant,testing_mode,date,expName,psychopyVersion,expStart
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,397.009134292603,text_05,41,3,0back_dual_main_click,0,Forscher,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,315.244197845459,text_05,42,3,0back_dual_main_click,0,haben,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,False,correct rejection,None,431.540012359619,text_05,43,3,0back_dual_main_click,0,außerdem,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,465.450048446655,text_05,44,3,0back_dual_main_click,0,"entdeckt,",,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,450.105905532837,text_05,45,3,0back_dual_main_click,0,dass,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,False,correct rejection,None,515.712022781372,text_05,46,3,0back_dual_main_click,0,die,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,False,correct rejection,None,364.724159240723,text_05,47,3,0back_dual_main_click,0,Schale,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,465.677976608276,text_05,48,3,0back_dual_main_click,0,der,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,415.501117706299,text_05,49,3,0back_dual_main_click,0,Eier,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,515.475988388062,text_05,50,3,0back_dual_main_click,0,Nanostrukturen,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,432.058811187744,text_05,51,3,0back_dual_main_click,0,"besitzt,",,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,549.160003662109,text_05,52,3,0back_dual_main_click,0,die,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,True,hit,497.799158096314,815.077066421509,text_05,53,3,0back_dual_main_click,0,wasserabweisend,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,432.221174240112,text_05,54,3,0back_dual_main_click,0,und,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,365.490198135376,text_05,55,3,0back_dual_main_click,0,rau,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,True,miss,None,382.315874099731,text_05,56,3,0back_dual_main_click,0,sind.,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,732.362031936646,text_05,57,3,0back_dual_main_click,0,Dies,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,398.638010025024,text_05,58,3,0back_dual_main_click,0,schützt,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,415.55118560791,text_05,59,3,0back_dual_main_click,0,die,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,448.978900909424,text_05,60,3,0back_dual_main_click,0,Eier,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,415.383100509644,text_05,61,3,0back_dual_main_click,0,vor,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,481.698989868164,text_05,62,3,0back_dual_main_click,0,Schmutz,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,365.46802520752,text_05,63,3,0back_dual_main_click,0,und,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,True,hit,582.027912139893,882.606983184814,text_05,64,3,0back_dual_main_click,0,"Salzwasser,",,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,1298.31409454346,text_05,65,3,0back_dual_main_click,0,hält,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,True,hit,767.927885055542,1035.11691093445,text_05,66,3,0back_dual_main_click,0,die,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,899.150848388672,text_05,67,3,0back_dual_main_click,0,Poren,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,499.002933502197,text_05,68,3,0back_dual_main_click,0,frei,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,549.170970916748,text_05,69,3,0back_dual_main_click,0,und,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,431.679964065552,text_05,70,3,0back_dual_main_click,0,erleichtert,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,398.850917816162,text_05,71,3,0back_dual_main_click,0,den,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,448.339939117432,text_05,72,3,0back_dual_main_click,0,Sauerstoffaustausch.,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,True,hit,515.52414894104,832.805156707764,text_05,73,3,0back_dual_main_click,0,Die,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,415.374994277954,text_05,74,3,0back_dual_main_click,0,bunten,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,348.044872283936,text_05,75,3,0back_dual_main_click,0,Muster,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,382.049083709717,text_05,76,3,0back_dual_main_click,0,helfen,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,True,hit,532.158136367798,816.030025482178,text_05,77,3,0back_dual_main_click,0,den,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,365.270137786865,text_05,78,3,0back_dual_main_click,0,"Eltern,",,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,415.585041046143,text_05,79,3,0back_dual_main_click,0,ihre,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,398.734092712402,text_05,80,3,0back_dual_main_click,0,eigenen,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,499.021053314209,text_05,81,3,0back_dual_main_click,0,Eier,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,397.256851196289,text_05,82,3,0back_dual_main_click,0,zu,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,348.596096038818,text_05,83,3,0back_dual_main_click,0,erkennen.,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,True,hit,532.274961471558,832.852125167847,text_05,84,3,0back_dual_main_click,0,So,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,383.166074752808,text_05,85,3,0back_dual_main_click,0,überstehen,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,365.65899848938,text_05,86,3,0back_dual_main_click,0,die,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,415.555953979492,text_05,87,3,0back_dual_main_click,0,Eier,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,415.556907653809,text_05,88,3,0back_dual_main_click,0,die,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,True,hit,465.157032012939,782.444000244141,text_05,89,3,0back_dual_main_click,0,gefährliche,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,True,miss,None,348.370790481567,text_05,90,3,0back_dual_main_click,0,Brutzeit,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,749.403953552246,text_05,91,3,0back_dual_main_click,0,besser.,,,,,,,,,,,,,,,#88BA3F,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text_05,,,0back_dual_main_click,,,387.53996014595,Q1,NA,NA,False,4,0,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text_05,,,0back_dual_main_click,,,397.586233139038,Q2,NA,NA,False,4,0,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text_05,,,0back_dual_main_click,,,407.622648000717,Q3,NA,NA,False,4,0,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.656823158264,417.656831026077,417.697576999664,417.69759106636,417.706236124039,417.706246137619,417.723224163055,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,417.739563941956,,,,,,,,,,,,,,,,,,,,,,,,,417.723539113998,,,#D292F3,False,correct rejection,None,884.757995605469,,1,4,1back_single_training1,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,817.986965179443,,2,4,1back_single_training1,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,True,hit,650.964021682739,1001.64294242859,,3,4,1back_single_training1,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,True,miss,None,1500,,4,4,1back_single_training1,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,False,correct rejection,None,1500,,5,4,1back_single_training1,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,16.3888931274414,,6,4,1back_single_training1,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,True,miss,None,1352.32996940613,,7,4,1back_single_training1,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,False,correct rejection,None,834.671974182129,,8,4,1back_single_training1,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,False,correct rejection,None,600.882053375244,,9,4,1back_single_training1,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,True,hit,465.642929077148,866.413831710815,,10,4,1back_single_training1,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,500.695943832397,,11,4,1back_single_training1,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,False,correct rejection,None,585.88719367981,,12,4,1back_single_training1,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,False,correct rejection,None,701.098918914795,,13,4,1back_single_training1,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,534.093856811523,,14,4,1back_single_training1,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,False,correct rejection,None,617.579221725464,,15,4,1back_single_training1,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,716.104984283447,,16,4,1back_single_training1,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,484.000205993652,,17,4,1back_single_training1,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,True,hit,702.804803848267,1020.0719833374,,18,4,1back_single_training1,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,False,correct rejection,None,433.893203735352,,19,4,1back_single_training1,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,False,correct rejection,None,884.758949279785,,20,4,1back_single_training1,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,1500,,1,5,1back_single_training2,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,False,correct rejection,None,433.886051177979,,2,5,1back_single_training2,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,False,correct rejection,None,851.359844207764,,3,5,1back_single_training2,1,,,,,,,,,,,,,,,,,,,,,,,MA01,no,2024-08-22_08h07.10.569,EXNAT_3_training,2024.1.0,2024-08-22 08h07.51.867027 +0200
