DisplayImage,corrAns,ishihara_pics.thisRepN,ishihara_pics.thisTrialN,ishihara_pics.thisN,ishihara_pics.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,Settings.started,Settings.stopped,demographics.started,demographics.stopped,demographic_form.index,demographic_form.itemText,demographic_form.type,demographic_form.font,demographic_form.markerColor,demographic_form.response,demographic_form.rt,education.started,education.stopped,edu_form.index,edu_form.itemText,edu_form.type,edu_form.font,edu_form.markerColor,edu_form.response,edu_form.rt,Ishihara.started,Ishihara.stopped,ishihara_number.text,no_text_blocks_self_paced.started,no_text_blocks_self_paced.stopped,text_blocks_self_paced.started,colour,target,nback_response,nback_RT,duration,text_nr,trial_nr,block_nr,block_name,block_kind,word,global_onset_time,question,button_pressed,chosen_ans,ans_correct,block_nr_exp,n-back_level,text_blocks_self_paced.stopped,text_blocks_paced.started,text_blocks_paced.stopped,no_text_blocks_paced.started,no_text_blocks_paced.stopped,pseudotext.started,pseudotext.stopped,curr_0back_target,RT_per_letter_baseline,participant,testing_mode,date,expName,psychopyVersion,expStart,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,reading_bl_training_text,50,0,Reading_Baseline_training_click,None,Turnieren,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,reading_bl_training_text,51,0,Reading_Baseline_training_click,None,in,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,1500,reading_bl_training_text,52,0,Reading_Baseline_training_click,None,Amerika,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1500,reading_bl_training_text,53,0,Reading_Baseline_training_click,None,nun,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,reading_bl_training_text,54,0,Reading_Baseline_training_click,None,nach,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,reading_bl_training_text,55,0,Reading_Baseline_training_click,None,Argentinien,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,reading_bl_training_text,56,0,Reading_Baseline_training_click,None,"reiste,",,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1500,reading_bl_training_text,57,0,Reading_Baseline_training_click,None,für,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,1500,reading_bl_training_text,58,0,Reading_Baseline_training_click,None,ein,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,reading_bl_training_text,59,0,Reading_Baseline_training_click,None,Interview,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1500,reading_bl_training_text,60,0,Reading_Baseline_training_click,None,erwischt.,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reading_bl_training_text,,,Reading_Baseline_training_click,,,326.40004086494446,Q1,NA,NA,False,1,None,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reading_bl_training_text,,,Reading_Baseline_training_click,,,336.453027009964,Q2,3,c,True,1,None,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reading_bl_training_text,,,Reading_Baseline_training_click,,,342.51720094680786,Q3,1,a,True,1,None,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.8247609138489,347.82478189468384,347.8639929294586,347.8640069961548,347.8732798099518,347.8732898235321,347.8903419971466,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,347.90789890289307,,,,,,,,,,,,,,,,,,,,,,,,,347.89065980911255,347.9079418182373,347.9079489707947,#F989A2,None,None,None,1500,text_02,1,1,Reading_Baseline_main_click,None,In,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,963.7448787689209,text_02,2,1,Reading_Baseline_main_click,None,Tansania,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1500,text_02,3,1,Reading_Baseline_main_click,None,haben,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,180.05895614624023,text_02,4,1,Reading_Baseline_main_click,None,Forscher,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,text_02,5,1,Reading_Baseline_main_click,None,Überreste,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,text_02,6,1,Reading_Baseline_main_click,None,eines,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,text_02,7,1,Reading_Baseline_main_click,None,Urzeit-Krokodils,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,246.9489574432373,text_02,8,1,Reading_Baseline_main_click,None,entdeckt.,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,text_02,9,1,Reading_Baseline_main_click,None,Es,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,599.1671085357666,text_02,10,1,Reading_Baseline_main_click,None,zeigt,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1500,text_02,11,1,Reading_Baseline_main_click,None,Ähnlichkeiten,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,text_02,12,1,Reading_Baseline_main_click,None,zu,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,text_02,13,1,Reading_Baseline_main_click,None,Säugetieren.,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,1500,text_02,14,1,Reading_Baseline_main_click,None,Es,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,815.126895904541,text_02,15,1,Reading_Baseline_main_click,None,war,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,747.9588985443115,text_02,16,1,Reading_Baseline_main_click,None,so,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,799.0000247955322,text_02,17,1,Reading_Baseline_main_click,None,groß,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,text_02,18,1,Reading_Baseline_main_click,None,wie,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,649.381160736084,text_02,19,1,Reading_Baseline_main_click,None,eine,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1015.6500339508057,text_02,20,1,Reading_Baseline_main_click,None,Katze.,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,text_02,21,1,Reading_Baseline_main_click,None,Das,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,732.1438789367676,text_02,22,1,Reading_Baseline_main_click,None,Tier,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1117.2280311584473,text_02,23,1,Reading_Baseline_main_click,None,lebte,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1500,text_02,24,1,Reading_Baseline_main_click,None,vor,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,949.6190547943115,text_02,25,1,Reading_Baseline_main_click,None,etwa,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1500,text_02,26,1,Reading_Baseline_main_click,None,105,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,648.9958763122559,text_02,27,1,Reading_Baseline_main_click,None,Millionen,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1116.1730289459229,text_02,28,1,Reading_Baseline_main_click,None,Jahren,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,text_02,29,1,Reading_Baseline_main_click,None,und,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,832.3309421539307,text_02,30,1,Reading_Baseline_main_click,None,jagte,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,text_02,31,1,Reading_Baseline_main_click,None,an,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,699.3420124053955,text_02,32,1,Reading_Baseline_main_click,None,Land,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1350.600004196167,text_02,33,1,Reading_Baseline_main_click,None,nach,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,text_02,34,1,Reading_Baseline_main_click,None,Insekten,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,766.1762237548828,text_02,35,1,Reading_Baseline_main_click,None,und,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1500,text_02,36,1,Reading_Baseline_main_click,None,kleinen,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,732.5060367584229,text_02,37,1,Reading_Baseline_main_click,None,Tieren.,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1500,text_02,38,1,Reading_Baseline_main_click,None,Es,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,932.2960376739502,text_02,39,1,Reading_Baseline_main_click,None,besaß,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,1500,text_02,40,1,Reading_Baseline_main_click,None,ungewöhnliche,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,597.1808433532715,text_02,41,1,Reading_Baseline_main_click,None,"Merkmale,",,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,text_02,42,1,Reading_Baseline_main_click,None,wie,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,531.5918922424316,text_02,43,1,Reading_Baseline_main_click,None,weniger,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,text_02,44,1,Reading_Baseline_main_click,None,Zähne,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,615.1580810546875,text_02,45,1,Reading_Baseline_main_click,None,und,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,1500,text_02,46,1,Reading_Baseline_main_click,None,hatte,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,297.9259490966797,text_02,47,1,Reading_Baseline_main_click,None,Backenzähne,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,text_02,48,1,Reading_Baseline_main_click,None,zum,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1066.659927368164,text_02,49,1,Reading_Baseline_main_click,None,Kauen,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,text_02,50,1,Reading_Baseline_main_click,None,von,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,96.25005722045898,text_02,51,1,Reading_Baseline_main_click,None,Nahrung.,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,text_02,52,1,Reading_Baseline_main_click,None,Außerdem,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1251.6279220581055,text_02,53,1,Reading_Baseline_main_click,None,war,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1500,text_02,54,1,Reading_Baseline_main_click,None,es,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,832.6141834259033,text_02,55,1,Reading_Baseline_main_click,None,weniger,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,1399.933099746704,text_02,56,1,Reading_Baseline_main_click,None,gepanzert.,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,text_02,57,1,Reading_Baseline_main_click,None,Die,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,699.1860866546631,text_02,58,1,Reading_Baseline_main_click,None,Forscher,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,982.9189777374268,text_02,59,1,Reading_Baseline_main_click,None,"denken,",,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,1500,text_02,60,1,Reading_Baseline_main_click,None,dass,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,1099.4319915771484,text_02,61,1,Reading_Baseline_main_click,None,Krokodile,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,text_02,62,1,Reading_Baseline_main_click,None,in,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#2AB7EF,None,None,None,1500,text_02,63,1,Reading_Baseline_main_click,None,der,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,665.6069755554199,text_02,64,1,Reading_Baseline_main_click,None,Vergangenheit,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#88BA3F,None,None,None,1500,text_02,65,1,Reading_Baseline_main_click,None,auf,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#D292F3,None,None,None,816.411018371582,text_02,66,1,Reading_Baseline_main_click,None,der,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#F989A2,None,None,None,1500,text_02,67,1,Reading_Baseline_main_click,None,Südhalbkugel,,,,,,,,,,,,,,,,,OA01,no,2024-08-22_10h54.07.157,EXNAT_3_training,2024.1.0,2024-08-22 10h54.19.658026 +0200,
